,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
1741,$2 to $5 billion (USD),Zions Bancorporation,Finance,UT,Company - Public,Banks & Credit Unions,application reliability analyst,1955.0,3.7,3428,10000+ Employees,0,1,40000.0
1742,$100 to $500 million (USD),C3 AI,,CA,Company - Public,Banks & Credit Unions,senior software engineer - crm,1955.0,3.7,4542,10000+ Employees,0,1,40000.0
1743,$100 to $500 million (USD),BrainWorks,Information Technology,Remote,Company - Public,Enterprise Software & Network Solutions,data engineer,2009.0,4.5,978,501 to 1000 Employees,0,1,40000.0
1744,$5 to $10 billion (USD),Bon Secours Mercy Health,Information Technology,OH,Company - Public,Computer Hardware & Software,data analyst,1976.0,4.3,621,10000+ Employees,0,1,40000.0
1745,$5 to $10 billion (USD),Robert Half,Business Services,MN,Company - Public,Staffing & Outsourcing,data scientist,1948.0,3.8,772,10000+ Employees,0,1,40000.0
1746,$10+ billion (USD),Deloitte,Accounting & Legal,OH,Company - Private,Accounting,"gcp cloud enablement - analytics & cognitive, senior consultant",1850.0,3.9,1999,10000+ Employees,0,1,40000.0
1747,Unknown / Non-Applicable,Varsity Tutors,Information Technology,NJ,Company - Private,Internet,sussex county data science expert jobs,2007.0,4.1,607,201 to 500 Employees,0,1,37500.0
1748,Unknown / Non-Applicable,Varsity Tutors,Information Technology,GA,Company - Private,Internet,decatur data science tutor jobs,2007.0,4.1,607,201 to 500 Employees,0,1,37500.0
1749,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"senior software engineer, productivity",2009.0,4.5,3,501 to 1000 Employees,0,1,37500.0
1750,$10+ billion (USD),Capgemini,Information Technology,TX,Company - Public,Enterprise Software & Network Solutions,data engineer,1967.0,4.5,1021,10000+ Employees,0,1,37500.0
1751,Unknown / Non-Applicable,Grand Rounds,Health Care,NV,Company - Private,Health Care Services & Hospitals,bilingual care coordinator,2011.0,,818,501 to 1000 Employees,0,1,37500.0
1752,$10 to $25 million (USD),Coding Dojo,Education,WA,Company - Private,Education Training Services,ar/vr instructor,2012.0,4.5,954,51 to 200 Employees,0,1,37500.0
1753,,Enamix Inc,,CA,IT Services,Information Technology,senior data engineer-direct hire,,4.4,1045,1 to 50 Employees,0,1,37500.0
1754,Unknown / Non-Applicable,Bloomberg,Information Technology,NY,Company - Private,Computer Hardware & Software,enterprise data - solutions engineering north america team leader,1981.0,4.1,985,10000+ Employees,0,1,37500.0
1755,Unknown / Non-Applicable,Huntington Bank,Information Technology,OH,Company - Private,Computer Hardware & Software,data scientist - natural language programming (nlp) focus,1981.0,4.1,2124,10000+ Employees,0,1,37500.0
1756,$10+ billion (USD),Huntington Bank,Finance,OH,Company - Public,Banks & Credit Unions,data scientist - machine learning focus,1866.0,3.9,827,10000+ Employees,0,1,37500.0
1757,$10+ billion (USD),Huntington Bank,Finance,OH,Company - Public,Banks & Credit Unions,data scientist - machine learning operations,1866.0,3.9,783,10000+ Employees,0,1,37500.0
